"GID","NumOfShiftsMissed"
"100001","1"
"100002","0"
"100003","1"
"100004","0"
"100005","0"
"admID","passwd"
"adm123","2titan2"
"KeyDate","IsHoliday","IsWeekend"
"2021-11-01","0","0"
"2021-11-02","0","0"
"2021-11-03","0","0"
"2021-11-04","1","0"
"2021-11-05","0","0"
"2021-11-06","0","1"
"2021-11-07","1","1"
"ENumber","QuantityUnderRepair","DateOfRepair","DateOfReturn","Status","CostOfRepair"
"6","2","2021-10-27","2021-10-30","Done","455"
"9","2","2021-11-01","2021-11-04","Ongoing","0"
"ENumber","EName","Quantity","InitialValuePerPiece"
"1","Pruning Shears","30","677"
"2","Garden Fork","10","776"
"3","Hand Trowel","15","100"
"4","Hoe","10","799"
"6","Ingco 1600 W Electric Lawn Mover LM385","3","7639"
"7","Unison Mild Steel Frame Wheel Type Push Mower","4","3499"
"8","Garden Hose with Adjustable Nozzle","8","315"
"9","Stihl Cordless Hedge Trimmer ","3","7632"
"10","TADSO-LID Garden Digger Auger","4","1499"
"GID","GFirstName","GLastName","Gender","DoB","Age","StartDate","YearsWithIITP"
"100001","Rakesh","Agarwal","M","1983-09-07","38","2008-05-08","13"
"100002","Seema","Ahuja","F","1986-04-02","35","2011-06-24","10"
"100003","Satyam","Singh","M","1992-07-17","29","2018-04-03","3"
"100004","Shivansh","Mehta","M","1980-03-16","41","2017-05-18","4"
"100005","Vivek","Kumar","F","1984-01-22","37","2009-06-02","12"
"LID","LandLocation","Area"
"1001","Admin Blk Front","1050"
"1002","Tut. Blk Front","2000"
"1003","Gate 1 Area","4046"
"1004","Gate 2 Area","4000"
"1005","Block 4 Front","1000"
"1006","Block 6 Front","2000"
"LID","RequesterName","Job","DateOfRequest","StatusMsg"
"1001","Sujatha","Grass Cutting","2021-11-16","Done"
"1005","Neeraja","Indoor Plants Watering","2021-11-23","Ongoing"
"1003","Mehuli","Indoor Plants Watering","2021-11-15","Ongoing"
"GID","DateOfPayment","SalaryAmt","OvertimeHours","OvertimePayment","TotalPay"
"100001","2021-11-30","13000","5","250","13250"
"100002","2021-11-30","10000","4","200","10200"
"100003","2021-11-30","10000","2","100","10100"
"100004","2021-11-30","10000","2","100","10100"
"100005","2021-11-30","10000","2","100","10100"
"GID","LID","KeyDate","Shift","Job","HoursAlloted","HoursDone"
"100001","1001","2021-11-01","M","Lawn Care","3","6"
"100002","1002","2021-11-01","M","Lawn Care","3","3"
"100003","1003","2021-11-01","M","Lawn Care","3","0"
"100004","1004","2021-11-01","M","Lawn Care","3","3"
"100005","1005","2021-11-01","M","Lawn Care","3","3"
"100001","1006","2021-11-01","A","Lawn Care","3","5"
"100002","1001","2021-11-01","A","Shrub Maintenance","3","5"
"100003","1002","2021-11-01","A","Shrub Maintenance","3","5"
"100004","1003","2021-11-01","A","Shrub Maintenance","3","5"
"100005","1004","2021-11-01","A","Shrub Maintenance","3","5"
"100001","1005","2021-11-02","M","Shrub Maintenance","3","3"
"100002","1006","2021-11-02","M","Shrub Maintenance","3","3"
"100003","1001","2021-11-02","M","Flower Bed Care","3","3"
"100004","1002","2021-11-02","M","Flower Bed Care","3","3"
"100005","1003","2021-11-02","M","Flower Bed Care","3","3"
"100001","1004","2021-11-02","A","Flower Bed Care","3","3"
"100002","1005","2021-11-02","A","Flower Bed Care","3","3"
"100003","1006","2021-11-02","A","Flower Bed Care","3","3"
"100004","1001","2021-11-02","A","Weeding","3","3"
"100005","1002","2021-11-02","A","Weeding","3","3"
"100001","1003","2021-11-03","M","Weeding","3","0"
"100002","1004","2021-11-03","M","Weeding","3","5"
